               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.022934,           0.0066725,                   0,             0.91506,             0.86686,             0.92592,              0.5252,             0.03402,           0.0053519,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.022181,           0.0065815,                   0,             0.91426,             0.85799,             0.92103,             0.53378,            0.033744,           0.0052503,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.022702,           0.0064911,                   0,             0.92622,             0.86581,              0.9235,              0.5339,            0.033226,           0.0053423,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.022056,           0.0063658,                   0,              0.9116,             0.86207,              0.9241,             0.52963,            0.032999,           0.0052785,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.022937,            0.006288,                   0,             0.87477,             0.90805,             0.92452,             0.53195,            0.032871,           0.0052105,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.022253,           0.0063737,                   0,             0.85318,             0.89655,             0.90152,               0.527,            0.033346,           0.0051169,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.021565,           0.0061492,                   0,             0.84258,             0.90805,             0.90086,             0.51246,            0.033189,           0.0051631,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.021047,           0.0062245,                   0,             0.83789,             0.89115,             0.89421,             0.52464,             0.03382,           0.0052549,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.021806,           0.0065723,                   0,             0.86502,             0.91954,             0.91764,             0.52954,            0.033618,           0.0052266,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.021779,           0.0062668,                   0,             0.83577,             0.89655,             0.88753,             0.51294,            0.033966,           0.0053123,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.020348,           0.0065029,                   0,             0.85493,             0.88064,             0.87953,             0.51026,              0.0337,            0.005256,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.021869,            0.006203,                   0,             0.84169,              0.9167,               0.909,             0.51728,            0.034413,           0.0053175,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.020942,           0.0060557,                   0,             0.83919,             0.91954,             0.91143,             0.51412,            0.033985,           0.0053708,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.020329,           0.0060741,                   0,             0.82718,             0.89655,             0.89267,             0.51168,            0.033847,             0.00546,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.020499,           0.0061067,                   0,             0.84703,             0.89655,             0.89728,             0.50604,            0.034466,           0.0055917,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.019553,           0.0062679,                   0,              0.8555,             0.88466,             0.89276,             0.50414,            0.034632,           0.0055314,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.01985,           0.0055431,                   0,             0.91114,             0.82505,             0.88658,             0.51924,            0.034322,           0.0054754,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.020469,           0.0061864,                   0,             0.92404,             0.83894,             0.88675,             0.51436,            0.034568,           0.0054984,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.020219,           0.0059913,                   0,             0.90089,             0.81609,             0.87524,              0.5138,            0.034598,           0.0055292,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.019962,            0.005868,                   0,             0.90137,             0.81609,             0.87726,              0.5235,            0.034932,           0.0055017,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.020351,           0.0060748,                   0,             0.90954,               0.809,             0.88361,             0.53967,            0.033659,           0.0054628,                   0,            0.001981,            0.001981,            0.001981
                  83,             0.02001,            0.005798,                   0,             0.84396,             0.88506,             0.89364,             0.52341,            0.034415,            0.005565,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.018549,           0.0053829,                   0,             0.84615,             0.88504,             0.89817,             0.54038,            0.033357,            0.005467,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.019404,           0.0059192,                   0,             0.84748,             0.89415,             0.89967,             0.54043,            0.033543,           0.0054352,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.018662,           0.0059613,                   0,             0.90398,              0.8046,             0.89306,             0.54763,            0.033196,           0.0053777,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.019738,           0.0059635,                   0,             0.91044,             0.82759,             0.89818,              0.5409,            0.033466,           0.0053923,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.019112,            0.005832,                   0,             0.91236,             0.83766,             0.90406,             0.53794,            0.033654,           0.0053519,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.018708,           0.0056848,                   0,             0.85554,             0.88497,             0.90603,             0.53823,            0.033716,            0.005334,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.018187,           0.0056887,                   0,             0.91128,             0.82645,             0.89975,             0.53594,            0.033882,            0.005338,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.018924,           0.0062974,                   0,             0.89075,             0.84348,             0.89923,             0.53147,            0.034026,           0.0053672,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.018683,           0.0055887,                   0,             0.90432,             0.85057,             0.89932,             0.52907,            0.034078,           0.0053956,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.019455,           0.0056396,                   0,             0.91275,             0.84175,             0.89645,             0.52028,            0.034185,           0.0053809,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.018298,           0.0057342,                   0,             0.90835,             0.82759,              0.8927,             0.52264,            0.034085,           0.0053508,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.018348,           0.0056811,                   0,             0.91138,             0.82742,             0.89129,             0.52952,            0.033876,           0.0053357,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.018938,           0.0059282,                   0,             0.90856,             0.82759,             0.89189,             0.52532,            0.033995,            0.005343,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.018063,           0.0057576,                   0,             0.90627,             0.82759,             0.89151,             0.51969,            0.034012,           0.0053679,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.018334,           0.0061544,                   0,             0.90254,             0.82759,             0.88974,             0.52425,            0.033882,           0.0053663,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.017876,           0.0053253,                   0,             0.90469,             0.82759,             0.89014,             0.52599,            0.033938,           0.0053908,                   0,            0.000298,            0.000298,            0.000298
